AREA,AREA_TITLE,AREA_TYPE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY,YEAR,PRIM_STATE,PCT_RPT,MAJOR_SOC,MAJOR_TITLE
99,U.S.,1,0,Cross-industry,cross-industry,1235,11-1011,Chief Executives,detailed,205890,0.8,,,,93.2,193850.0,0.4,29.95,54.23,88.68,,,62290.0,112790.0,184460.0,,,,,2019,,,11,Management Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,11-1021,General and Operations Managers,detailed,2400280,0.3,,,,59.15,123030.0,0.2,21.66,31.57,48.45,75.69,,45050.0,65660.0,100780.0,157430.0,,,,2019,,,11,Management Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,11-1031,Legislators,detailed,52280,2.2,,,,,49440.0,1.3,,,,,,17690.0,19070.0,29270.0,75520.0,100470.0,True,,2019,,,11,Management Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,11-2011,Advertising and Promotions Managers,detailed,25100,3.0,,,,68.22,141890.0,1.3,29.77,41.51,60.34,84.59,,61930.0,86330.0,125510.0,175940.0,,,,2019,,,11,Management Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,11-2021,Marketing Managers,detailed,263680,0.8,,,,71.73,149200.0,0.3,34.14,46.98,65.79,89.1,,71010.0,97710.0,136850.0,185320.0,,,,2019,,,11,Management Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,11-2022,Sales Managers,detailed,402600,0.6,,,,68.12,141690.0,0.3,28.76,40.94,60.89,85.5,,59810.0,85150.0,126640.0,177830.0,,,,2019,,,11,Management Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,11-2030,Public Relations and Fundraising Managers,detailed,79160,1.3,,,,63.77,132630.0,0.6,31.15,40.76,55.86,77.52,,64790.0,84780.0,116180.0,161230.0,,,,2019,,,11,Management Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,11-3010,Administrative Services and Facilities Managers,detailed,307280,0.5,,,,51.23,106550.0,0.3,26.54,34.72,46.61,61.65,79.96,55210.0,72220.0,96940.0,128230.0,166330.0,,,2019,,,11,Management Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,11-3021,Computer and Information Systems Managers,detailed,433960,0.6,,,,75.19,156390.0,0.3,42.06,54.38,70.37,89.24,,87480.0,113110.0,146360.0,185610.0,,,,2019,,,11,Management Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,11-3031,Financial Managers,detailed,654790,0.6,,,,70.93,147530.0,0.3,32.87,44.38,62.45,87.49,,68370.0,92310.0,129890.0,181980.0,,,,2019,,,11,Management Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,11-3051,Industrial Production Managers,detailed,185790,0.9,,,,55.34,115110.0,0.3,31.27,39.62,50.71,65.81,84.65,65050.0,82400.0,105480.0,136880.0,176070.0,,,2019,,,11,Management Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,11-3061,Purchasing Managers,detailed,72100,0.8,,,,61.73,128400.0,0.4,34.35,44.5,58.23,73.51,92.98,71450.0,92560.0,121110.0,152890.0,193400.0,,,2019,,,11,Management Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,11-3071,"Transportation, Storage, and Distribution Managers",detailed,132040,0.9,,,,49.67,103320.0,0.4,26.85,34.64,45.46,59.84,77.17,55850.0,72050.0,94560.0,124460.0,160500.0,,,2019,,,11,Management Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,11-3111,Compensation and Benefits Managers,detailed,16900,1.9,,,,64.52,134210.0,0.7,33.59,43.96,58.78,78.83,,69870.0,91430.0,122270.0,163980.0,,,,2019,,,11,Management Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,11-3121,Human Resources Managers,detailed,154800,0.7,,,,62.29,129570.0,0.3,32.84,42.38,56.11,75.27,98.9,68300.0,88150.0,116720.0,156560.0,205720.0,,,2019,,,11,Management Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,11-3131,Training and Development Managers,detailed,38510,1.2,,,,59.36,123470.0,0.4,31.12,40.73,54.5,73.24,94.27,64720.0,84720.0,113350.0,152340.0,196070.0,,,2019,,,11,Management Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,11-9013,"Farmers, Ranchers, and Other Agricultural Managers",detailed,5060,5.1,,,,38.63,80360.0,2.3,18.04,25.9,34.21,47.72,63.83,37530.0,53870.0,71160.0,99260.0,132760.0,,,2019,,,11,Management Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,11-9021,Construction Managers,detailed,293380,0.9,,,,50.48,105000.0,0.4,26.99,34.57,45.8,60.6,79.23,56140.0,71900.0,95260.0,126040.0,164790.0,,,2019,,,11,Management Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,11-9031,"Education and Childcare Administrators, Preschool and Daycare",detailed,52360,1.7,,,,25.81,53690.0,1.0,14.83,17.99,23.18,29.85,39.71,30850.0,37420.0,48210.0,62090.0,82590.0,,,2019,,,11,Management Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,11-9032,"Education Administrators, Kindergarten through Secondary",detailed,271020,0.8,,,,,100340.0,0.8,,,,,,63070.0,76650.0,96400.0,121500.0,148630.0,True,,2019,,,11,Management Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,11-9033,"Education Administrators, Postsecondary",detailed,144880,1.1,,,,54.04,112400.0,0.7,26.59,33.89,45.87,64.94,93.31,55320.0,70490.0,95410.0,135070.0,194090.0,,,2019,,,11,Management Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,11-9039,"Education Administrators, All Other",detailed,44550,2.2,,,,44.3,92150.0,1.0,22.17,29.46,41.08,55.76,70.28,46110.0,61280.0,85450.0,115990.0,146190.0,,,2019,,,11,Management Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,11-9041,Architectural and Engineering Managers,detailed,194250,1.0,,,,73.52,152930.0,0.3,44.48,55.61,69.63,86.16,,92510.0,115670.0,144830.0,179220.0,,,,2019,,,11,Management Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,11-9051,Food Service Managers,detailed,235470,1.2,,,,28.76,59820.0,0.5,15.97,20.32,26.6,34.27,44.73,33210.0,42260.0,55320.0,71270.0,93040.0,,,2019,,,11,Management Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,11-9071,Gambling Managers,detailed,4450,3.5,,,,40.72,84700.0,1.2,22.67,28.29,36.04,47.0,65.7,47160.0,58840.0,74970.0,97770.0,136650.0,,,2019,,,11,Management Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,11-9081,Lodging Managers,detailed,38340,2.4,,,,30.56,63570.0,1.1,15.09,19.24,26.17,36.12,50.83,31380.0,40010.0,54430.0,75130.0,105720.0,,,2019,,,11,Management Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,11-9111,Medical and Health Services Managers,detailed,394910,0.6,,,,55.37,115160.0,0.3,28.28,36.91,48.55,64.19,90.86,58820.0,76770.0,100980.0,133520.0,189000.0,,,2019,,,11,Management Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,11-9121,Natural Sciences Managers,detailed,67720,4.8,,,,69.93,145450.0,2.0,31.76,45.65,62.07,84.86,,66050.0,94940.0,129100.0,176510.0,,,,2019,,,11,Management Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,11-9131,Postmasters and Mail Superintendents,detailed,13850,0.4,,,,37.6,78220.0,0.1,31.43,33.73,36.97,41.49,45.62,65370.0,70160.0,76900.0,86300.0,94880.0,,,2019,,,11,Management Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,11-9141,"Property, Real Estate, and Community Association Managers",detailed,220750,1.3,,,,34.48,71720.0,0.9,14.92,20.02,28.25,40.59,62.1,31030.0,41630.0,58760.0,84430.0,129160.0,,,2019,,,11,Management Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,11-9151,Social and Community Service Managers,detailed,156460,1.5,,,,35.05,72900.0,0.5,19.82,25.23,32.28,42.39,54.08,41220.0,52480.0,67150.0,88180.0,112480.0,,,2019,,,11,Management Occupations
