MAJOR_SOC,MAJOR_TITLE,YEAR,emp_sum,wage_mean,wage_median,wage_mode,wage_std,wage_var,wage_q1,wage_q3
11,Management Occupations,2019,8054130,110622.0,113755.0,49440.0,33885.0,1148184841.0,83072.0,133815.0
11,Management Occupations,2022,9860710,118032.0,115410.0,57610.0,39372.0,1550134621.0,84335.0,145098.0
11,Management Occupations,2024,10966830,126781.0,125240.0,62640.0,42248.0,1784903994.0,94630.0,154830.0
13,Business and Financial Operations Occupations,2019,8183760,74340.0,71570.0,49550.0,15099.0,227976914.0,65640.0,80220.0
13,Business and Financial Operations Occupations,2022,9677710,83041.0,80840.0,51650.0,19416.0,376967676.0,72705.0,88805.0
13,Business and Financial Operations Occupations,2024,10351430,90631.0,86250.0,51910.0,25121.0,631084450.0,77132.0,97358.0
15,Computer and Mathematical Occupations,2019,4552880,96881.0,96110.0,56550.0,17703.0,313413131.0,90600.0,107280.0
15,Computer and Mathematical Occupations,2022,5003920,107726.0,105510.0,61580.0,21730.0,472199075.0,97160.0,119860.0
15,Computer and Mathematical Occupations,2024,5192870,113686.0,111960.0,64990.0,22088.0,487865266.0,101190.0,127730.0
17,Architecture and Engineering Occupations,2019,2592680,85461.0,92660.0,48500.0,25341.0,642148842.0,63570.0,98510.0
17,Architecture and Engineering Occupations,2022,2481150,89933.0,93610.0,51570.0,25200.0,635056603.0,66880.0,106185.0
17,Architecture and Engineering Occupations,2024,2567220,98367.0,95695.0,56890.0,27213.0,740561149.0,75292.0,116455.0
19,"Life, Physical, and Social Science Occupations",2019,1288900,80753.0,78290.0,44440.0,22261.0,495568405.0,65760.0,97160.0
19,"Life, Physical, and Social Science Occupations",2022,1314370,86508.0,85875.0,45000.0,25259.0,637994899.0,67728.0,100605.0
19,"Life, Physical, and Social Science Occupations",2024,1446780,92080.0,93885.0,49680.0,25861.0,668792217.0,72870.0,107965.0
21,Community and Social Service Occupations,2019,2244330,51324.0,51030.0,37050.0,7853.0,61673776.0,46900.0,59300.0
21,Community and Social Service Occupations,2022,2313620,56726.0,60130.0,41600.0,7871.0,61949413.0,49900.0,63300.0
21,Community and Social Service Occupations,2024,2569640,63722.0,65100.0,47090.0,8797.0,77384665.0,58070.0,71530.0
23,Legal Occupations,2019,1150780,85700.0,72280.0,52050.0,35261.0,1243354914.0,58672.0,107310.0
23,Legal Occupations,2022,1216600,97128.0,87225.0,57030.0,41014.0,1682166336.0,65442.0,112615.0
23,Legal Occupations,2024,1273410,102730.0,88695.0,59600.0,43244.0,1870050114.0,69015.0,127742.0
25,Educational Instruction and Library Occupations,2019,8886600,75935.0,77910.0,29640.0,22252.0,495171077.0,62735.0,89145.0
25,Educational Instruction and Library Occupations,2022,8496770,79628.0,81870.0,33740.0,21609.0,466961724.0,67230.0,93095.0
25,Educational Instruction and Library Occupations,2024,8947690,83731.0,84635.0,35960.0,23029.0,530329054.0,69638.0,99355.0
27,"Arts, Design, Entertainment, Sports, and Media Occupations",2019,2017800,64271.0,64670.0,29760.0,17978.0,323224908.0,53320.0,73760.0
27,"Arts, Design, Entertainment, Sports, and Media Occupations",2022,2063380,85339.0,75040.0,34310.0,52641.0,2771092189.0,63808.0,86408.0
27,"Arts, Design, Entertainment, Sports, and Media Occupations",2024,2098720,82878.0,78865.0,37700.0,36663.0,1344193569.0,64768.0,85720.0
29,Healthcare Practitioners and Technical Occupations,2019,8673130,107375.0,82950.0,58600.0,67848.0,4603338524.0,55215.0,151520.0
29,Healthcare Practitioners and Technical Occupations,2022,9042690,141559.0,91205.0,36370.0,102415.0,10488886829.0,63180.0,222425.0
29,Healthcare Practitioners and Technical Occupations,2024,9592720,155796.0,99690.0,39560.0,111162.0,12357001853.0,70040.0,254045.0
31,Healthcare Support Occupations,2019,6521780,37637.0,35210.0,26440.0,9972.0,99436847.0,30710.0,40010.0
31,Healthcare Support Occupations,2022,6792310,42815.0,40580.0,30930.0,10406.0,108294764.0,36070.0,44710.0
31,Healthcare Support Occupations,2024,7448000,46508.0,43610.0,34990.0,10380.0,107734978.0,40070.0,48860.0
33,Protective Service Occupations,2019,3498790,54681.0,53280.0,25380.0,18408.0,338843260.0,40360.0,66882.0
33,Protective Service Occupations,2022,3437590,57670.0,55535.0,28370.0,18852.0,355401526.0,43652.0,70488.0
