MAJOR_SOC,MAJOR_TITLE,emp_mean,wage_mean,wage_std
11,Management Occupations,9627223.0,118478.0,8089.0
13,Business and Financial Operations Occupations,9404300.0,82671.0,8152.0
15,Computer and Mathematical Occupations,4916557.0,106098.0,8520.0
17,Architecture and Engineering Occupations,2547017.0,91254.0,6554.0
19,"Life, Physical, and Social Science Occupations",1350017.0,86447.0,5664.0
21,Community and Social Service Occupations,2375863.0,57257.0,6216.0
23,Legal Occupations,1213597.0,95186.0,8680.0
25,Educational Instruction and Library Occupations,8777020.0,79765.0,3900.0
27,"Arts, Design, Entertainment, Sports, and Media Occupations",2059967.0,77496.0,11519.0
29,Healthcare Practitioners and Technical Occupations,9102847.0,134910.0,24886.0
31,Healthcare Support Occupations,6920697.0,42320.0,4456.0
33,Protective Service Occupations,3530433.0,59365.0,5724.0
35,Food Preparation and Serving Related Occupations,13207570.0,34312.0,4304.0
37,Building and Grounds Cleaning and Maintenance Occupations,4413873.0,42322.0,4140.0
39,Personal Care and Service Occupations,3099583.0,40029.0,4370.0
41,Sales and Related Occupations,13635450.0,62392.0,6433.0
43,Office and Administrative Support Occupations,18807030.0,45991.0,4368.0
45,"Farming, Fishing, and Forestry Occupations",461553.0,43795.0,5031.0
47,Construction and Extraction Occupations,6210463.0,54926.0,5337.0
49,"Installation, Maintenance, and Repair Occupations",5860620.0,56267.0,5866.0
51,Production Occupations,8880467.0,46834.0,4849.0
53,Transportation and Material Moving Occupations,13246030.0,58959.0,5301.0
