OCC_CODE,A_PCT10_2019,A_PCT10_2022,A_PCT10_2024,A_PCT25_2019,A_PCT25_2022,A_PCT25_2024,A_PCT75_2019,A_PCT75_2022,A_PCT75_2024,A_PCT90_2019,A_PCT90_2022,A_PCT90_2024,TOT_EMP_2019,TOT_EMP_2022,TOT_EMP_2024,real_median_wage_2019,real_median_wage_2022,real_median_wage_2024,OCC_TITLE,emp_change_pct_19_24,emp_change_pct_19_22,emp_change_pct_22_24,wage_change_pct_19_24,wage_change_pct_19_22,wage_change_pct_22_24
11-1011,62290.0,74920.0,73710.0,112790.0,122480.0,126080.0,,,,,,,205890.0,199240.0,211850.0,214526.98,204871.12,206420.0,Chief Executives,2.894749623585409,-3.229880033027345,6.3290503914876535,-3.7790025291923697,-4.501000293762591,0.756026520477852
11-1021,45050.0,43470.0,47420.0,65660.0,62070.0,67160.0,157430.0,154560.0,164130.0,,221270.0,,2400280.0,3376680.0,3584420.0,117207.14,106046.1,102950.0,General and Operations Managers,49.33341110203809,40.67858749812522,6.15219683239158,-12.164054169396165,-9.522491547869873,-2.919579315033737
11-1031,17690.0,20970.0,20380.0,19070.0,28690.0,29120.0,75520.0,94030.0,80350.0,100470.0,149710.0,137820.0,52280.0,42890.0,26510.0,34041.01,51985.29,44810.0,Legislators,-49.29227237949503,-17.960979342004592,-38.1907204476568,31.63534219460585,52.71371207846065,-13.80253914136095
11-2011,61930.0,60380.0,63000.0,86330.0,85020.0,85990.0,175940.0,172920.0,178570.0,,,,25100.0,22010.0,21100.0,145968.13,138184.22999999998,126960.0,Advertising and Promotions Managers,-15.93625498007968,-12.310756972111554,-4.134484325306679,-13.022109689286289,-5.332602397523366,-8.12265625390103
11-2021,71010.0,76790.0,81900.0,97710.0,103060.0,111210.0,185320.0,198530.0,211080.0,,,,263680.0,328570.0,384980.0,159156.55000000002,151383.24,161030.0,Marketing Managers,46.00273058252427,24.609375,17.168335514502235,1.1771114666659854,-4.884065406042055,6.372409521688141
11-2022,59810.0,61040.0,66910.0,85150.0,87910.0,95910.0,177830.0,180390.0,201490.0,,,,402600.0,536390.0,603710.0,147282.32,141178.6,138060.0,Sales Managers,49.95280675608544,33.23149528067561,12.55056954827644,-6.261661277470376,-4.144231296736771,-2.208975014626867
11-3021,87480.0,97430.0,104450.0,113110.0,127180.0,134350.0,185610.0,207850.0,216220.0,,,,433960.0,533220.0,645970.0,170216.68,177359.66999999998,171200.0,Computer and Information Systems Managers,48.8547331551295,22.873075859526224,21.14511833764675,0.5776872160824703,4.196410128549088,-3.4729823301994105
11-3031,68370.0,79050.0,86490.0,92310.0,104150.0,118360.0,181980.0,203720.0,214210.0,,,,654790.0,740780.0,818620.0,151062.07,151112.99,161700.0,Financial Managers,25.02023549534965,13.132454680126454,10.507843084316532,7.0420920354129874,0.0337079983082342,7.006022447176785
11-3051,65050.0,67720.0,74900.0,82400.0,85350.0,94620.0,136880.0,139430.0,156330.0,176070.0,178470.0,197310.0,185790.0,211710.0,234380.0,122673.24,116272.36,121440.0,Industrial Production Managers,26.15318370202917,13.951235265622476,10.708044022483586,-1.0053048244262606,-5.2178290880716975,4.444426861207599
11-3061,71450.0,80000.0,85500.0,92560.0,101790.0,107430.0,152890.0,166980.0,175460.0,193400.0,210000.0,219140.0,72100.0,75070.0,81240.0,140850.93,141989.35,139510.0,Purchasing Managers,12.676837725381414,4.119278779472954,8.218995604102837,-0.9520206930831008,0.808244574600972,-1.74615208816718
11-3071,55850.0,57780.0,61200.0,72050.0,75640.0,78360.0,124460.0,130240.0,136050.0,160500.0,169070.0,180590.0,132040.0,169910.0,213000.0,109973.28,106543.36,102010.0,"Transportation, Storage, and Distribution Managers",61.31475310511966,28.68070281732808,25.36048496262727,-7.241104384628702,-3.118866691981905,-4.254943714934465
11-3111,69870.0,77230.0,81660.0,91430.0,99270.0,105210.0,163980.0,172520.0,190890.0,,217650.0,,16900.0,16850.0,20070.0,142200.01,141913.68,140360.0,Compensation and Benefits Managers,18.757396449704142,-0.2958579881656805,19.10979228486647,-1.2939591213812214,-0.2013572291591373,-1.0948063639812549
11-3121,68300.0,76610.0,83790.0,88150.0,98230.0,105590.0,156560.0,171170.0,189960.0,205720.0,224360.0,,154800.0,181360.0,215520.0,135745.36000000002,140530.0,140030.0,Human Resources Managers,39.22480620155039,17.157622739018088,18.8354653727393,3.156380446447661,3.5247171616031547,-0.3557959154628905
11-3131,64720.0,68450.0,75810.0,84720.0,88680.0,96110.0,152340.0,161630.0,169310.0,196070.0,210470.0,219990.0,38510.0,39550.0,44960.0,131826.05000000002,129720.0,127090.0,Training and Development Managers,16.74889639054791,2.70059724746819,13.67888748419722,-3.5926510731376817,-1.5975977433898818,-2.0274437249460373
11-9013,37530.0,37440.0,51700.0,53870.0,53160.0,67970.0,99260.0,103130.0,115200.0,132760.0,139040.0,156530.0,5060.0,6250.0,5910.0,82759.08,81896.56,87980.0,"Farmers, Ranchers, and Other Agricultural Managers",16.798418972332016,23.517786561264824,-5.44,6.308576654066235,-1.042205882424024,7.42819967041351
