OCC_CODE,OCC_TITLE,YEAR,A_MEAN,wage_eqw,wage_eqf,wage_entropy,wage_cluster
11-1011,Chief Executives,2019,193850.0,Low,Q5,"(171905.0, inf]","(179850.373, 294651.12]"
11-1021,General and Operations Managers,2019,123030.0,Low,Q5,"(87500.0, 171905.0]","(101799.419, 179850.373]"
11-1031,Legislators,2019,49440.0,Very Low,Q2,"(40715.0, 60460.0]","(-inf, 61812.893]"
11-2011,Advertising and Promotions Managers,2019,141890.0,Low,Q5,"(87500.0, 171905.0]","(101799.419, 179850.373]"
11-2021,Marketing Managers,2019,149200.0,Low,Q5,"(87500.0, 171905.0]","(101799.419, 179850.373]"
11-2022,Sales Managers,2019,141690.0,Low,Q5,"(87500.0, 171905.0]","(101799.419, 179850.373]"
11-2030,Public Relations and Fundraising Managers,2019,132630.0,Low,Q5,"(87500.0, 171905.0]","(101799.419, 179850.373]"
11-3010,Administrative Services and Facilities Managers,2019,106550.0,Very Low,Q5,"(87500.0, 171905.0]","(101799.419, 179850.373]"
11-3021,Computer and Information Systems Managers,2019,156390.0,Low,Q5,"(87500.0, 171905.0]","(101799.419, 179850.373]"
11-3031,Financial Managers,2019,147530.0,Low,Q5,"(87500.0, 171905.0]","(101799.419, 179850.373]"
11-3051,Industrial Production Managers,2019,115110.0,Low,Q5,"(87500.0, 171905.0]","(101799.419, 179850.373]"
11-3061,Purchasing Managers,2019,128400.0,Low,Q5,"(87500.0, 171905.0]","(101799.419, 179850.373]"
11-3071,"Transportation, Storage, and Distribution Managers",2019,103320.0,Very Low,Q5,"(87500.0, 171905.0]","(101799.419, 179850.373]"
11-3111,Compensation and Benefits Managers,2019,134210.0,Low,Q5,"(87500.0, 171905.0]","(101799.419, 179850.373]"
11-3121,Human Resources Managers,2019,129570.0,Low,Q5,"(87500.0, 171905.0]","(101799.419, 179850.373]"
11-3131,Training and Development Managers,2019,123470.0,Low,Q5,"(87500.0, 171905.0]","(101799.419, 179850.373]"
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",2019,80360.0,Very Low,Q4,"(60460.0, 87500.0]","(61812.893, 101799.419]"
11-9021,Construction Managers,2019,105000.0,Very Low,Q5,"(87500.0, 171905.0]","(101799.419, 179850.373]"
11-9031,"Education and Childcare Administrators, Preschool and Daycare",2019,53690.0,Very Low,Q3,"(40715.0, 60460.0]","(-inf, 61812.893]"
11-9032,"Education Administrators, Kindergarten through Secondary",2019,100340.0,Very Low,Q5,"(87500.0, 171905.0]","(61812.893, 101799.419]"
11-9033,"Education Administrators, Postsecondary",2019,112400.0,Low,Q5,"(87500.0, 171905.0]","(101799.419, 179850.373]"
11-9039,"Education Administrators, All Other",2019,92150.0,Very Low,Q5,"(87500.0, 171905.0]","(61812.893, 101799.419]"
11-9041,Architectural and Engineering Managers,2019,152930.0,Low,Q5,"(87500.0, 171905.0]","(101799.419, 179850.373]"
11-9051,Food Service Managers,2019,59820.0,Very Low,Q3,"(40715.0, 60460.0]","(-inf, 61812.893]"
11-9071,Gambling Managers,2019,84700.0,Very Low,Q4,"(60460.0, 87500.0]","(61812.893, 101799.419]"
11-9081,Lodging Managers,2019,63570.0,Very Low,Q3,"(60460.0, 87500.0]","(61812.893, 101799.419]"
11-9111,Medical and Health Services Managers,2019,115160.0,Low,Q5,"(87500.0, 171905.0]","(101799.419, 179850.373]"
11-9121,Natural Sciences Managers,2019,145450.0,Low,Q5,"(87500.0, 171905.0]","(101799.419, 179850.373]"
11-9131,Postmasters and Mail Superintendents,2019,78220.0,Very Low,Q4,"(60460.0, 87500.0]","(61812.893, 101799.419]"
11-9141,"Property, Real Estate, and Community Association Managers",2019,71720.0,Very Low,Q4,"(60460.0, 87500.0]","(61812.893, 101799.419]"
11-9151,Social and Community Service Managers,2019,72900.0,Very Low,Q4,"(60460.0, 87500.0]","(61812.893, 101799.419]"
11-9161,Emergency Management Directors,2019,82530.0,Very Low,Q4,"(60460.0, 87500.0]","(61812.893, 101799.419]"
11-9171,Funeral Home Managers,2019,95220.0,Very Low,Q5,"(87500.0, 171905.0]","(61812.893, 101799.419]"
11-9198,"Personal Service Managers, All Other; Entertainment and Recreation Managers, Except Gambling; and Managers, All Other",2019,118710.0,Low,Q5,"(87500.0, 171905.0]","(101799.419, 179850.373]"
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",2019,97170.0,Very Low,Q5,"(87500.0, 171905.0]","(61812.893, 101799.419]"
13-1020,Buyers and Purchasing Agents,2019,69680.0,Very Low,Q4,"(60460.0, 87500.0]","(61812.893, 101799.419]"
13-1031,"Claims Adjusters, Examiners, and Investigators",2019,68940.0,Very Low,Q4,"(60460.0, 87500.0]","(61812.893, 101799.419]"
13-1032,"Insurance Appraisers, Auto Damage",2019,66240.0,Very Low,Q3,"(60460.0, 87500.0]","(61812.893, 101799.419]"
13-1041,Compliance Officers,2019,72850.0,Very Low,Q4,"(60460.0, 87500.0]","(61812.893, 101799.419]"
13-1051,Cost Estimators,2019,71350.0,Very Low,Q4,"(60460.0, 87500.0]","(61812.893, 101799.419]"
13-1071,Human Resources Specialists,2019,67760.0,Very Low,Q4,"(60460.0, 87500.0]","(61812.893, 101799.419]"
13-1074,Farm Labor Contractors,2019,62060.0,Very Low,Q3,"(60460.0, 87500.0]","(61812.893, 101799.419]"
13-1075,Labor Relations Specialists,2019,71870.0,Very Low,Q4,"(60460.0, 87500.0]","(61812.893, 101799.419]"
13-1081,Logisticians,2019,78680.0,Very Low,Q4,"(60460.0, 87500.0]","(61812.893, 101799.419]"
13-1111,Management Analysts,2019,95560.0,Very Low,Q5,"(87500.0, 171905.0]","(61812.893, 101799.419]"
13-1121,"Meeting, Convention, and Event Planners",2019,54880.0,Very Low,Q3,"(40715.0, 60460.0]","(-inf, 61812.893]"
13-1131,Fundraisers,2019,62830.0,Very Low,Q3,"(60460.0, 87500.0]","(61812.893, 101799.419]"
13-1141,"Compensation, Benefits, and Job Analysis Specialists",2019,69840.0,Very Low,Q4,"(60460.0, 87500.0]","(61812.893, 101799.419]"
13-1151,Training and Development Specialists,2019,65640.0,Very Low,Q3,"(60460.0, 87500.0]","(61812.893, 101799.419]"
13-1161,Market Research Analysts and Marketing Specialists,2019,71570.0,Very Low,Q4,"(60460.0, 87500.0]","(61812.893, 101799.419]"
13-1198,"Project Management Specialists and Business Operations Specialists, All Other",2019,80220.0,Very Low,Q4,"(60460.0, 87500.0]","(61812.893, 101799.419]"
13-2011,Accountants and Auditors,2019,79520.0,Very Low,Q4,"(60460.0, 87500.0]","(61812.893, 101799.419]"
