AREA,AREA_TITLE,AREA_TYPE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY,YEAR,PRIM_STATE,PCT_RPT,MAJOR_SOC,MAJOR_TITLE
99,U.S.,1,0,Cross-industry,cross-industry,1235,43-3011,Bill and Account Collectors,detailed,202840,1.3,,,,20.59,42820.0,0.4,14.19,16.73,18.98,23.22,28.66,29510.0,34800.0,39470.0,48290.0,59610.0,,,2022,US,,43,Office and Administrative Support Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,23-2011,Paralegals and Legal Assistants,detailed,345240,1.8,,,,30.21,62840.0,2.1,18.12,22.52,28.46,36.33,45.66,37690.0,46850.0,59200.0,75560.0,94960.0,,,2022,US,,23,Legal Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,51-8031,Water and Wastewater Treatment Plant and System Operators,detailed,126750,1.1,,,,29.15,60620.0,0.4,18.21,22.61,28.01,34.27,41.42,37870.0,47020.0,58260.0,71280.0,86160.0,,,2024,US,,51,Production Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,51-2041,Structural Metal Fabricators and Fitters,detailed,76890,2.4,,,,20.67,43000.0,1.0,13.24,16.01,19.42,24.1,29.57,27530.0,33290.0,40390.0,50130.0,61500.0,,,2019,,,51,Production Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,49-3052,Motorcycle Mechanics,detailed,15590,3.6,,,,19.22,39970.0,1.0,11.78,14.4,18.08,23.33,28.87,24490.0,29950.0,37600.0,48530.0,60060.0,,,2019,,,49,"Installation, Maintenance, and Repair Occupations"
99,U.S.,1,0,Cross-industry,cross-industry,1235,49-9095,Manufactured Building and Mobile Home Installers,detailed,3630,11.6,,,,18.28,38020.0,1.8,13.15,14.87,17.7,20.59,25.39,27350.0,30920.0,36820.0,42820.0,52800.0,,,2022,US,,49,"Installation, Maintenance, and Repair Occupations"
99,U.S.,1,0,Cross-industry,cross-industry,1235,51-3022,"Meat, Poultry, and Fish Cutters and Trimmers",detailed,133460,1.1,,,,16.87,35090.0,0.3,12.96,14.42,16.86,18.8,21.43,26950.0,29990.0,35070.0,39100.0,44560.0,,,2022,US,,51,Production Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,33-9091,Crossing Guards and Flaggers,detailed,90180,2.4,,,,20.63,42910.0,1.0,14.39,16.48,18.13,22.56,29.54,29940.0,34280.0,37700.0,46920.0,61440.0,,,2024,US,,33,Protective Service Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,25-2022,"Middle School Teachers, Except Special and Career/Technical Education",detailed,620370,1.5,,,,,70040.0,0.8,,,,,,47050.0,53540.0,62970.0,79380.0,100980.0,True,,2024,US,,25,Educational Instruction and Library Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,51-9041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",detailed,57310,2.1,,,,22.62,47040.0,0.5,16.73,18.46,21.7,24.99,31.09,34790.0,38410.0,45130.0,51970.0,64660.0,,,2024,US,,51,Production Occupations
