OCC_CODE,OCC_TITLE_FELTEN,AIOE,AIOE_z
11-1011,Chief Executives,1.334246,1.3351087600846525
11-1021,General and Operations Managers,0.5748773,0.5752490353405494
11-2011,Advertising and Promotions Managers,1.294387,1.2952239863659367
11-2021,Marketing Managers,1.315032,1.3158823358835585
11-2022,Sales Managers,1.26628,1.2670988117526265
11-2031,Public Relations Managers,1.293689,1.2945255350235634
11-3011,Administrative Services Managers,0.7398278,0.7403061960141486
11-3021,Computer and Information Systems Managers,1.059853,1.0605383314487227
11-3031,Financial Managers,1.446232,1.4471671727308322
11-3051,Industrial Production Managers,0.5086878,0.5090167357330598
11-3061,Purchasing Managers,1.423426,1.4243464258623955
11-3071,"Transportation, Storage, and Distribution Managers",0.8907923,0.8913683130280986
11-3111,Compensation and Benefits Managers,1.298235,1.2990744745685916
11-3121,Human Resources Managers,1.320417,1.3212708179447061
11-3131,Training and Development Managers,1.284423,1.2852535434212247
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",-0.1443684,-0.144461744976548
11-9021,Construction Managers,1.029139,1.0298044710910461
11-9031,"Education Administrators, Preschool and Child Care Center/Program",0.838007,0.8385488808753974
11-9032,"Education Administrators, Elementary and Secondary School",1.048811,1.0494891914451587
11-9033,"Education Administrators, Postsecondary",1.461149,1.4620938183958534
11-9039,"Education Administrators, All Other",0.3541265,0.3543554929479796
11-9041,Engineering Managers,0.8370105,0.8375517365162639
11-9051,Food Service Managers,-0.1213112,-0.1213896356765864
11-9061,Funeral Directors,0.3719018,0.3721422868535539
11-9071,Gaming Managers,0.8299207,0.8304573520933995
11-9081,Lodging Managers,0.4021726,0.4024326606282219
11-9111,Medical and Health Services Managers,1.260259,1.2610739184396886
11-9121,Natural Sciences Managers,1.327906,1.3287646604991972
11-9131,Postmasters and Mail Superintendents,0.8233757,0.8239081199503706
11-9141,"Property, Real Estate, and Community Association Managers",1.215396,1.216181909022926
11-9151,Social and Community Service Managers,1.156153,1.1569006011773237
11-9161,Emergency Management Directors,1.030768,1.0314345244387915
11-9199,"Managers, All Other",0.9646872,0.9653109951191474
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",1.068559,1.069249960942567
13-1021,"Purchasing Agents and Buyers, Farm Products",0.7687054,0.7692024689146122
13-1022,"Wholesale and Retail Buyers, Except Farm Products",0.8188258,0.8193552778835154
13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",1.509181,1.5101568769587213
13-1031,"Claims Adjusters, Examiners, and Investigators",1.274024,1.274847819195807
13-1032,"Insurance Appraisers, Auto Damage",0.6634955,0.6639245378458776
13-1041,"Compliance Officers, Except Agriculture, Construction, Health and Safety, and Transportation",0.6981205,0.6985719271434145
13-1051,Cost Estimators,1.367669,1.368553372142171
13-1071,"Employment, Recruitment, and Placement Specialists",1.36005,1.3609294455267793
13-1074,Farm Labor Contractors,-0.4354025,-0.4356840341190262
13-1075,Labor Relations Specialists,1.334834,1.3356971402985716
13-1081,Logisticians,1.297303,1.2981418719165974
13-1111,Management Analysts,1.432417,1.4333432396435983
13-1121,Meeting and Convention Planners,0.3740207,0.37426255698156974
13-1131,Fundraisers,1.242567,1.2433704783977528
13-1141,"Compensation, Benefits, and Job Analysis Specialists",1.440985,1.4419167799035635
13-1151,Training and Development Specialists,1.198409,1.1991839248497203
13-1161,Market Research Analysts and Marketing Specialists,1.426757,1.427679579761315
13-1199,"Business Operations Specialists, All Other",1.047687,1.0483644646416805
13-2011,Accountants and Auditors,1.481956,1.4829142726662896
13-2021,Appraisers and Assessors of Real Estate,0.8413203,0.8418643233291022
13-2031,Budget Analysts,1.502988,1.5039598724267458
13-2041,Credit Analysts,1.345268,1.34613788715577
