OCC_CODE,arm_hand_steadiness,auditory_attention,category_flexibility,control_precision,deductive_reasoning,depth_perception,dynamic_flexibility,dynamic_strength,explosive_strength,extent_flexibility,far_vision,finger_dexterity,flexibility_of_closure,fluency_of_ideas,glare_sensitivity,gross_body_coordination,gross_body_equilibrium,hearing_sensitivity,inductive_reasoning,information_ordering,manual_dexterity,mathematical_reasoning,memorization,multilimb_coordination,near_vision,night_vision,number_facility,oral_comprehension,oral_expression,originality,perceptual_speed,peripheral_vision,problem_sensitivity,rate_control,reaction_time,response_orientation,selective_attention,sound_localization,spatial_orientation,speech_clarity,speech_recognition,speed_of_closure,speed_of_limb_movement,stamina,static_strength,time_sharing,trunk_strength,visual_color_discrimination,visualization,wrist_finger_speed,written_comprehension,written_expression,analyzing_data_or_information,assisting_and_caring_for_others,coaching_and_developing_others,communicating_with_people_outside_the_organization,"communicating_with_supervisors,_peers,_or_subordinates",controlling_machines_and_processes,coordinating_the_work_and_activities_of_others,developing_objectives_and_strategies,developing_and_building_teams,documenting_recording_information,"drafting,_laying_out,_and_specifying_technical_devices,_parts,_and_equipment",establishing_and_maintaining_interpersonal_relationships,"estimating_the_quantifiable_characteristics_of_products,_events,_or_information",evaluating_information_to_determine_compliance_with_standards,getting_information,"guiding,_directing,_and_motivating_subordinates",handling_and_moving_objects,"identifying_objects,_actions,_and_events","inspecting_equipment,_structures,_or_materials",interpreting_the_meaning_of_information_for_others,"judging_the_qualities_of_objects,_services,_or_people",making_decisions_and_solving_problems,"monitoring_processes,_materials,_or_surroundings",monitoring_and_controlling_resources,"operating_vehicles,_mechanized_devices,_or_equipment","organizing,_planning,_and_prioritizing_work",performing_administrative_activities,performing_general_physical_activities,performing_for_or_working_directly_with_the_public,processing_information,providing_consultation_and_advice_to_others,repairing_and_maintaining_electronic_equipment,repairing_and_maintaining_mechanical_equipment,resolving_conflicts_and_negotiating_with_others,scheduling_work_and_activities,selling_or_influencing_others,staffing_organizational_units,thinking_creatively,training_and_teaching_others,updating_and_using_relevant_knowledge,working_with_computers,OCC_TITLE,occ_major_group,AIOE,AIOE_z,A_PCT10_2019,A_PCT10_2022,A_PCT10_2024,A_PCT25_2019,A_PCT25_2022,A_PCT25_2024,A_PCT75_2019,A_PCT75_2022,A_PCT75_2024,A_PCT90_2019,A_PCT90_2022,A_PCT90_2024,TOT_EMP_2019,TOT_EMP_2022,TOT_EMP_2024,real_median_wage_2019,real_median_wage_2022,real_median_wage_2024,emp_change_pct_19_24,emp_change_pct_19_22,emp_change_pct_22_24,wage_change_pct_19_24,wage_change_pct_19_22,wage_change_pct_22_24,UAIOE,UAIOE_ev,AIOE_rank,UAIOE_rank,rank_diff,abs_rank_diff,cluster,cluster_label
11-1011,1.19,2.06,3.31,1.625,4.0,1.875,1.0,1.125,1.0,1.0,2.94,1.625,3.065,3.88,1.125,1.0,1.0,2.06,3.94,3.81,1.0,3.0,2.63,1.625,3.37,1.125,3.0,4.3100000000000005,4.25,3.815,2.625,1.125,3.94,1.19,1.19,1.19,3.06,1.19,1.19,4.125,4.0,2.69,1.0,1.0,1.0,2.75,1.38,2.06,2.875,1.25,4.125,4.12,4.3,3.0250000000000004,4.32,4.515000000000001,4.779999999999999,1.8,4.085,4.535,4.41,3.52,1.81,4.734999999999999,3.4,4.08,4.67,4.26,1.65,4.04,2.31,4.295,4.015,4.74,3.865,3.995,2.185,4.45,3.66,1.885,3.73,4.21,3.94,1.465,1.31,3.955,3.73,3.96,3.52,4.325,3.82,4.305,4.16,Chief Executives,Management,1.334246,1.3351087600846523,62290.0,74920.0,73710.0,112790.0,122480.0,126080.0,,,,,,,205890.0,199240.0,211850.0,214526.98,204871.12,206420.0,2.894749623585409,-3.229880033027345,6.3290503914876535,-3.7790025291923697,-4.501000293762591,0.756026520477852,1.759442686376865,-1.3085140383686085,66,4,-62,62,3,Highest Exposure Knowledge & Management
11-1021,1.62,2.12,3.38,1.12,3.88,1.88,1.0,1.12,1.38,1.25,2.62,1.5,2.62,3.25,1.0,1.5,1.38,1.75,3.5,3.5,1.5,2.88,2.25,1.5,3.5,1.12,2.88,4.0,4.0,3.12,2.38,1.25,3.88,1.0,1.62,1.0,2.88,1.25,1.5,3.88,3.62,2.38,1.0,1.62,1.5,2.75,2.12,1.88,2.75,1.75,4.0,4.0,4.04,3.02,3.91,3.57,4.34,2.07,3.99,3.84,3.81,3.94,2.12,4.28,3.23,3.59,4.42,4.2,2.0,4.22,2.62,3.72,4.1,4.33,3.91,3.86,1.9,4.2,3.4,2.11,2.54,4.08,3.66,1.89,1.83,3.88,3.81,3.58,3.7,3.7,3.41,3.8,4.46,General and Operations Managers,Management,0.5748773,0.5752490353405494,45050.0,43470.0,47420.0,65660.0,62070.0,67160.0,157430.0,154560.0,164130.0,,221270.0,,2400280.0,3376680.0,3584420.0,117207.14,106046.1,102950.0,49.33341110203809,40.67858749812522,6.15219683239158,-12.164054169396165,-9.522491547869873,-2.919579315033737,1.150078964784206,-0.92783021561785,233,108,-125,125,3,Highest Exposure Knowledge & Management
11-2011,1.38,1.75,3.38,1.12,3.88,1.75,1.0,1.0,1.0,1.0,2.88,1.62,3.12,3.75,1.0,1.0,1.0,1.75,3.5,3.25,1.38,3.0,2.5,1.0,3.75,1.0,2.88,4.0,4.25,3.75,2.88,1.0,3.62,1.0,1.0,1.0,2.88,1.0,1.0,4.0,3.88,2.62,1.0,1.0,1.0,2.75,1.62,2.88,3.25,1.75,4.0,3.88,3.26,2.37,2.62,4.37,4.25,1.85,3.07,3.42,2.96,3.31,1.28,4.01,2.79,2.35,4.32,2.98,2.08,3.6,1.77,3.01,3.37,3.82,2.78,2.52,1.82,4.17,3.11,1.9,3.18,3.51,2.31,1.34,1.21,2.82,3.34,3.64,2.29,4.05,2.74,3.78,4.61,Advertising and Promotions Managers,Management,1.294387,1.2952239863659367,61930.0,60380.0,63000.0,86330.0,85020.0,85990.0,175940.0,172920.0,178570.0,,,,25100.0,22010.0,21100.0,145968.13,138184.22999999998,126960.0,-15.93625498007968,-12.310756972111554,-4.134484325306679,-13.022109689286289,-5.332602397523366,-8.12265625390103,1.2562527322234938,-1.2970269125515574,88,87,-1,1,3,Highest Exposure Knowledge & Management
11-2021,1.12,1.88,3.25,1.0,3.88,1.75,1.0,1.25,1.0,1.0,2.88,1.75,3.0,3.75,1.0,1.0,1.0,1.88,3.75,3.25,1.0,3.12,2.62,1.0,3.5,1.0,3.12,4.0,4.0,3.62,2.75,1.0,3.62,1.0,1.0,1.0,2.88,1.0,1.0,3.75,3.62,2.75,1.0,1.0,1.0,2.75,1.75,2.88,3.0,1.62,4.0,3.88,3.75,2.44,3.36,4.2,4.75,1.2,3.97,4.07,4.08,3.0,1.29,4.68,3.59,2.61,4.33,3.84,1.37,4.24,1.45,3.39,3.37,4.34,3.27,3.18,1.78,4.35,2.59,1.71,2.81,3.36,3.18,1.15,1.14,3.68,3.4,4.27,2.25,4.28,3.14,3.83,4.4,Marketing Managers,Management,1.315032,1.3158823358835583,71010.0,76790.0,81900.0,97710.0,103060.0,111210.0,185320.0,198530.0,211080.0,,,,263680.0,328570.0,384980.0,159156.55000000002,151383.24,161030.0,46.00273058252427,24.609375,17.168335514502235,1.1771114666659854,-4.884065406042055,6.372409521688141,1.52886746299097,-1.316056103973277,80,28,-52,52,3,Highest Exposure Knowledge & Management
11-2022,1.12,1.88,3.25,1.38,3.88,1.5,1.0,1.0,1.0,1.0,2.75,1.5,2.88,3.75,1.0,1.0,1.0,1.62,3.88,3.12,1.38,2.88,2.88,1.25,3.12,1.0,2.88,4.0,4.0,3.75,2.62,1.0,3.88,1.0,1.0,1.0,2.75,1.0,1.5,3.75,3.75,2.88,1.0,1.0,1.0,2.62,1.88,2.0,2.25,1.62,4.0,4.0,3.95,2.95,4.5,4.55,4.7,1.48,4.2,4.25,4.6,3.62,1.33,4.71,3.14,3.43,4.29,4.57,1.2,3.81,1.62,3.6,4.15,4.63,3.1,3.1,1.76,4.1,3.15,1.35,3.48,3.85,4.29,1.14,1.05,4.14,3.48,4.86,3.86,3.86,4.33,3.95,4.29,Sales Managers,Management,1.26628,1.2670988117526265,59810.0,61040.0,66910.0,85150.0,87910.0,95910.0,177830.0,180390.0,201490.0,,,,402600.0,536390.0,603710.0,147282.32,141178.6,138060.0,49.95280675608544,33.23149528067561,12.55056954827644,-6.261661277470376,-4.144231296736771,-2.208975014626867,1.7176719262030848,-1.4177692995317195,102,7,-95,95,3,Highest Exposure Knowledge & Management
11-3021,2.25,2.0,3.25,2.0,4.0,1.75,1.0,1.5,1.0,1.0,2.75,2.12,3.0,3.38,1.12,1.0,1.0,1.75,4.0,3.75,2.12,3.0,2.62,1.38,3.75,1.0,3.12,4.0,4.0,3.25,2.75,1.0,4.0,1.25,1.25,1.25,2.88,1.0,1.12,3.62,3.38,2.75,1.0,1.0,1.0,2.62,1.75,2.38,3.0,2.0,4.0,3.75,4.25,2.38,3.76,3.13,4.36,1.98,3.9,3.99,4.12,3.36,1.98,3.9,3.64,3.72,4.43,3.98,1.65,4.31,2.96,3.56,3.86,4.51,3.79,3.58,1.63,4.31,3.15,2.01,1.81,3.94,3.45,1.99,1.48,3.5,3.72,3.11,3.58,3.58,3.2,3.89,4.9,Computer and Information Systems Managers,Management,1.059853,1.060538331448723,87480.0,97430.0,104450.0,113110.0,127180.0,134350.0,185610.0,207850.0,216220.0,,,,433960.0,533220.0,645970.0,170216.68,177359.66999999998,171200.0,48.8547331551295,22.873075859526224,21.14511833764675,0.5776872160824703,4.196410128549088,-3.4729823301994105,1.1971606061883304,-0.9829598021303196,151,99,-52,52,3,Highest Exposure Knowledge & Management
11-3031,1.25,1.9566666666666668,3.333333333333333,1.0833333333333333,4.04,1.58,1.0,1.0833333333333333,1.0,1.0,2.5033333333333334,2.04,3.2099999999999995,3.3366666666666664,1.0,1.0,1.0,1.75,3.96,3.8366666666666656,1.29,3.753333333333333,2.7099999999999995,1.0,3.790000000000001,1.04,3.6233333333333335,4.04,4.04,3.17,3.0,1.04,3.8766666666666665,1.0,1.0,1.0,2.83,1.04,1.0,3.790000000000001,3.6233333333333335,2.92,1.0,1.04,1.0,2.46,1.46,1.7933333333333332,2.4166666666666665,1.4166666666666667,4.08,3.8766666666666665,4.44,2.2433333333333336,3.706666666666667,4.006666666666667,4.39,1.4633333333333336,3.36,3.803333333333333,3.6,3.4933333333333336,1.1666666666666667,4.12,3.1966666666666668,3.846666666666666,4.61,3.5666666666666664,1.3333333333333333,3.86,1.8233333333333333,3.6533333333333338,3.646666666666667,4.486666666666667,3.0400000000000005,2.853333333333333,1.35,4.066666666666666,2.8366666666666664,1.4866666666666666,2.4433333333333334,4.333333333333333,3.34,1.18,1.0433333333333332,3.0766666666666667,3.286666666666666,2.99,2.7266666666666666,3.473333333333333,3.276666666666667,3.953333333333333,4.403333333333333,Financial Managers,Management,1.446232,1.4471671727308322,68370.0,79050.0,86490.0,92310.0,104150.0,118360.0,181980.0,203720.0,214210.0,,,,654790.0,740780.0,818620.0,151062.07,151112.99,161700.0,25.02023549534965,13.132454680126454,10.507843084316532,7.0420920354129874,0.0337079983082342,7.006022447176785,1.542126324734167,-1.5303529542100216,11,25,14,14,3,Highest Exposure Knowledge & Management
11-3051,2.523333333333333,2.6466666666666665,3.206666666666667,2.375,3.938333333333333,2.165,1.04,1.4983333333333333,1.23,1.7516666666666667,3.081666666666667,2.48,3.228333333333333,3.228333333333333,1.54,1.5416666666666667,1.6483333333333334,2.415,3.815,3.5400000000000005,2.2716666666666665,3.143333333333333,2.708333333333333,2.123333333333333,3.5416666666666665,1.3133333333333332,3.1016666666666666,4.06,4.04,3.02,3.2266666666666666,1.3766666666666667,3.9583333333333335,2.06,2.165,1.7916666666666667,3.125,1.4366666666666668,1.7083333333333333,3.686666666666667,3.58,2.8966666666666665,1.268333333333333,1.625,1.625,2.895,2.21,2.9166666666666665,2.936666666666667,1.8966666666666665,3.956666666666667,3.706666666666667,3.8816666666666655,2.6283333333333334,3.813333333333333,3.356666666666667,4.385,3.155,3.9616666666666656,3.5,3.9466666666666654,3.9483333333333337,2.7216666666666662,3.895,3.546666666666667,3.953333333333333,4.3133333333333335,3.95,2.478333333333333,4.153333333333333,3.888333333333333,3.486666666666667,3.731666666666667,4.318333333333333,4.2283333333333335,3.58,2.603333333333333,4.133333333333334,3.2433333333333336,2.51,2.0083333333333333,3.9766666666666666,3.345,2.793333333333333,2.95,3.5683333333333334,3.86,2.54,3.228333333333333,3.57,3.6966666666666654,3.72,4.301666666666667,Industrial Production Managers,Management,0.5086878,0.5090167357330598,65050.0,67720.0,74900.0,82400.0,85350.0,94620.0,136880.0,139430.0,156330.0,176070.0,178470.0,197310.0,185790.0,211710.0,234380.0,122673.24,116272.36,121440.0,26.15318370202917,13.951235265622476,10.708044022483586,-1.0053048244262606,-5.2178290880716975,4.444426861207599,0.616920312309572,-0.20951864531274839,240,227,-13,13,1,Moderate Exposure Service & Healthcare
11-3061,1.0,2.25,3.12,1.0,3.88,2.0,1.0,1.5,1.0,1.0,2.62,1.0,2.75,3.88,1.0,1.0,1.0,2.0,3.62,3.75,1.0,3.12,2.62,1.0,3.25,1.0,3.25,4.0,4.0,3.5,2.75,1.0,3.62,1.0,1.0,1.0,3.25,1.0,1.0,3.88,3.88,2.75,1.0,1.0,1.0,2.62,1.75,2.12,2.25,1.38,3.88,3.75,4.05,2.59,4.17,4.44,4.53,1.72,4.05,3.95,4.0,4.0,2.42,4.33,3.26,4.0,4.42,4.11,1.74,3.37,2.82,3.53,3.16,4.63,3.28,3.53,1.63,4.33,3.47,1.89,3.11,4.05,3.63,1.33,1.28,4.05,3.56,2.53,3.32,3.78,4.11,4.26,4.37,Purchasing Managers,Management,1.423426,1.4243464258623957,71450.0,80000.0,85500.0,92560.0,101790.0,107430.0,152890.0,166980.0,175460.0,193400.0,210000.0,219140.0,72100.0,75070.0,81240.0,140850.93,141989.35,139510.0,12.676837725381414,4.119278779472954,8.218995604102837,-0.9520206930831008,0.808244574600972,-1.74615208816718,1.5377109096964203,-1.3555205721625267,21,26,5,5,3,Highest Exposure Knowledge & Management
11-3071,1.31,2.185,3.75,1.435,3.88,2.06,1.0,1.25,1.0,1.0,3.065,1.815,3.125,3.25,1.31,1.0,1.0,2.0,3.88,3.815,1.375,2.935,2.62,1.25,3.685,1.44,2.94,4.0,3.875,3.25,2.88,1.375,3.88,1.31,1.375,1.31,2.935,1.31,1.5,3.625,3.56,2.62,1.0,1.0,1.0,2.62,1.87,2.44,2.62,1.5,4.0,4.0,3.975,2.4800000000000004,3.87,3.915,4.365,2.1100000000000003,3.88,3.77,4.165,3.46,2.175,4.17,3.425,3.735,4.185,4.055,2.255,3.725,2.975,3.47,3.61,4.375,3.605,3.82,2.385,4.055,3.095,2.085,2.51,3.69,3.47,1.725,1.84,3.89,3.675,3.225,3.505,3.785,3.705,3.785,4.05,"Transportation, Storage, and Distribution Managers",Management,0.8907923,0.8913683130280986,55850.0,57780.0,61200.0,72050.0,75640.0,78360.0,124460.0,130240.0,136050.0,160500.0,169070.0,180590.0,132040.0,169910.0,213000.0,109973.28,106543.36,102010.0,61.31475310511966,28.68070281732808,25.36048496262727,-7.241104384628702,-3.118866691981905,-4.254943714934465,1.1686743558060146,-0.9315887417125426,188,106,-82,82,3,Highest Exposure Knowledge & Management
11-3111,1.25,1.88,3.12,1.0,3.5,1.0,1.0,1.25,1.0,1.0,2.12,1.12,2.5,3.25,1.0,1.0,1.0,1.62,3.38,3.12,1.0,3.25,2.12,1.0,3.5,1.0,3.12,4.0,4.0,3.12,2.25,1.0,3.75,1.0,1.0,1.0,2.75,1.0,1.0,3.75,3.62,2.25,1.0,1.0,1.0,2.12,1.75,1.75,2.0,1.5,4.0,4.0,3.95,2.71,3.5,4.14,4.48,1.48,3.43,4.0,3.4,3.81,1.0,4.43,2.24,4.15,4.33,3.67,1.48,3.29,1.43,3.71,3.0,4.24,2.81,3.58,1.05,3.9,3.57,1.48,1.48,3.86,3.6,1.05,1.0,3.85,3.5,2.76,2.48,3.55,3.38,4.14,4.33,Compensation and Benefits Managers,Management,1.298235,1.2990744745685916,69870.0,77230.0,81660.0,91430.0,99270.0,105210.0,163980.0,172520.0,190890.0,,217650.0,,16900.0,16850.0,20070.0,142200.01,141913.68,140360.0,18.757396449704142,-0.2958579881656805,19.10979228486647,-1.2939591213812214,-0.2013572291591373,-1.0948063639812549,1.4086810132627254,-1.6145247604302815,85,46,-39,39,3,Highest Exposure Knowledge & Management
11-3121,1.12,2.12,3.38,1.12,4.0,1.5,1.0,1.38,1.0,1.0,2.88,1.38,2.88,3.75,1.0,1.0,1.0,1.75,4.0,3.62,1.12,3.0,3.0,1.0,4.0,1.0,3.0,4.38,4.5,3.75,2.62,1.0,3.88,1.0,1.0,1.0,3.5,1.0,1.12,4.12,4.0,3.12,1.0,1.0,1.0,2.75,2.0,1.75,2.12,2.0,4.38,4.12,3.95,3.41,4.32,3.86,4.73,1.55,3.91,3.95,4.45,3.95,1.14,4.73,2.82,4.59,4.18,4.14,1.68,3.59,2.0,3.91,4.0,4.64,3.48,3.59,1.73,4.45,3.5,2.09,3.05,4.0,4.27,1.5,1.18,4.73,3.55,3.45,4.23,3.73,4.09,4.0,4.23,Human Resources Managers,Management,1.320417,1.321270817944706,68300.0,76610.0,83790.0,88150.0,98230.0,105590.0,156560.0,171170.0,189960.0,205720.0,224360.0,,154800.0,181360.0,215520.0,135745.36000000002,140530.0,140030.0,39.22480620155039,17.157622739018088,18.8354653727393,3.156380446447661,3.5247171616031547,-0.3557959154628905,1.7553529490270625,-1.453409367115757,76,5,-71,71,3,Highest Exposure Knowledge & Management
