occ_code,arm_hand_steadiness,auditory_attention,category_flexibility,control_precision,deductive_reasoning,depth_perception,dynamic_flexibility,dynamic_strength,explosive_strength,extent_flexibility,far_vision,finger_dexterity,flexibility_of_closure,fluency_of_ideas,glare_sensitivity,gross_body_coordination,gross_body_equilibrium,hearing_sensitivity,inductive_reasoning,information_ordering,manual_dexterity,mathematical_reasoning,memorization,multilimb_coordination,near_vision,night_vision,number_facility,oral_comprehension,oral_expression,originality,perceptual_speed,peripheral_vision,problem_sensitivity,rate_control,reaction_time,response_orientation,selective_attention,sound_localization,spatial_orientation,speech_clarity,speech_recognition,speed_of_closure,speed_of_limb_movement,stamina,static_strength,time_sharing,trunk_strength,visual_color_discrimination,visualization,wrist_finger_speed,written_comprehension,written_expression,analyzing_data_or_information,assisting_and_caring_for_others,coaching_and_developing_others,communicating_with_people_outside_the_organization,"communicating_with_supervisors,_peers,_or_subordinates",controlling_machines_and_processes,coordinating_the_work_and_activities_of_others,developing_objectives_and_strategies,developing_and_building_teams,documenting_recording_information,"drafting,_laying_out,_and_specifying_technical_devices,_parts,_and_equipment",establishing_and_maintaining_interpersonal_relationships,"estimating_the_quantifiable_characteristics_of_products,_events,_or_information",evaluating_information_to_determine_compliance_with_standards,getting_information,"guiding,_directing,_and_motivating_subordinates",handling_and_moving_objects,"identifying_objects,_actions,_and_events","inspecting_equipment,_structures,_or_materials",interpreting_the_meaning_of_information_for_others,"judging_the_qualities_of_objects,_services,_or_people",making_decisions_and_solving_problems,"monitoring_processes,_materials,_or_surroundings",monitoring_and_controlling_resources,"operating_vehicles,_mechanized_devices,_or_equipment","organizing,_planning,_and_prioritizing_work",performing_administrative_activities,performing_general_physical_activities,performing_for_or_working_directly_with_the_public,processing_information,providing_consultation_and_advice_to_others,repairing_and_maintaining_electronic_equipment,repairing_and_maintaining_mechanical_equipment,resolving_conflicts_and_negotiating_with_others,scheduling_work_and_activities,selling_or_influencing_others,staffing_organizational_units,thinking_creatively,training_and_teaching_others,updating_and_using_relevant_knowledge,working_with_computers,OCC_TITLE,occ_major_group
11-1011,1.19,2.06,3.31,1.625,4.0,1.875,1.0,1.125,1.0,1.0,2.94,1.625,3.065,3.88,1.125,1.0,1.0,2.06,3.94,3.81,1.0,3.0,2.63,1.625,3.37,1.125,3.0,4.3100000000000005,4.25,3.815,2.625,1.125,3.94,1.19,1.19,1.19,3.06,1.19,1.19,4.125,4.0,2.69,1.0,1.0,1.0,2.75,1.38,2.06,2.875,1.25,4.125,4.12,4.3,3.0250000000000004,4.32,4.515000000000001,4.779999999999999,1.8,4.085,4.535,4.41,3.52,1.81,4.734999999999999,3.4,4.08,4.67,4.26,1.65,4.04,2.3099999999999996,4.295,4.015,4.74,3.865,3.995,2.185,4.45,3.6599999999999997,1.885,3.73,4.21,3.9400000000000004,1.4649999999999999,1.31,3.955,3.73,3.96,3.5199999999999996,4.325,3.82,4.305,4.16,Chief Executives,Management
11-1021,1.62,2.12,3.38,1.12,3.88,1.88,1.0,1.12,1.38,1.25,2.62,1.5,2.62,3.25,1.0,1.5,1.38,1.75,3.5,3.5,1.5,2.88,2.25,1.5,3.5,1.12,2.88,4.0,4.0,3.12,2.38,1.25,3.88,1.0,1.62,1.0,2.88,1.25,1.5,3.88,3.62,2.38,1.0,1.62,1.5,2.75,2.12,1.88,2.75,1.75,4.0,4.0,4.04,3.02,3.91,3.57,4.34,2.07,3.99,3.84,3.81,3.94,2.12,4.28,3.23,3.59,4.42,4.2,2.0,4.22,2.62,3.72,4.1,4.33,3.91,3.86,1.9,4.2,3.4,2.11,2.54,4.08,3.66,1.89,1.83,3.88,3.81,3.58,3.7,3.7,3.41,3.8,4.46,General and Operations Managers,Management
11-2011,1.38,1.75,3.38,1.12,3.88,1.75,1.0,1.0,1.0,1.0,2.88,1.62,3.12,3.75,1.0,1.0,1.0,1.75,3.5,3.25,1.38,3.0,2.5,1.0,3.75,1.0,2.88,4.0,4.25,3.75,2.88,1.0,3.62,1.0,1.0,1.0,2.88,1.0,1.0,4.0,3.88,2.62,1.0,1.0,1.0,2.75,1.62,2.88,3.25,1.75,4.0,3.88,3.26,2.37,2.62,4.37,4.25,1.85,3.07,3.42,2.96,3.31,1.28,4.01,2.79,2.35,4.32,2.98,2.08,3.6,1.77,3.01,3.37,3.82,2.78,2.52,1.82,4.17,3.11,1.9,3.18,3.51,2.31,1.34,1.21,2.82,3.34,3.64,2.29,4.05,2.74,3.78,4.61,Advertising and Promotions Managers,Management
11-2021,1.12,1.88,3.25,1.0,3.88,1.75,1.0,1.25,1.0,1.0,2.88,1.75,3.0,3.75,1.0,1.0,1.0,1.88,3.75,3.25,1.0,3.12,2.62,1.0,3.5,1.0,3.12,4.0,4.0,3.62,2.75,1.0,3.62,1.0,1.0,1.0,2.88,1.0,1.0,3.75,3.62,2.75,1.0,1.0,1.0,2.75,1.75,2.88,3.0,1.62,4.0,3.88,3.75,2.44,3.36,4.2,4.75,1.2,3.97,4.07,4.08,3.0,1.29,4.68,3.59,2.61,4.33,3.84,1.37,4.24,1.45,3.39,3.37,4.34,3.27,3.18,1.78,4.35,2.59,1.71,2.81,3.36,3.18,1.15,1.14,3.68,3.4,4.27,2.25,4.28,3.14,3.83,4.4,Marketing Managers,Management
11-2022,1.12,1.88,3.25,1.38,3.88,1.5,1.0,1.0,1.0,1.0,2.75,1.5,2.88,3.75,1.0,1.0,1.0,1.62,3.88,3.12,1.38,2.88,2.88,1.25,3.12,1.0,2.88,4.0,4.0,3.75,2.62,1.0,3.88,1.0,1.0,1.0,2.75,1.0,1.5,3.75,3.75,2.88,1.0,1.0,1.0,2.62,1.88,2.0,2.25,1.62,4.0,4.0,3.95,2.95,4.5,4.55,4.7,1.48,4.2,4.25,4.6,3.62,1.33,4.71,3.14,3.43,4.29,4.57,1.2,3.81,1.62,3.6,4.15,4.63,3.1,3.1,1.76,4.1,3.15,1.35,3.48,3.85,4.29,1.14,1.05,4.14,3.48,4.86,3.86,3.86,4.33,3.95,4.29,Sales Managers,Management
11-2033,1.0,2.25,3.0,1.12,3.88,1.0,1.0,1.75,1.0,1.0,2.75,1.12,2.5,3.62,1.0,1.0,1.0,1.88,3.38,3.5,1.12,2.88,2.62,1.0,3.38,1.0,3.0,4.12,4.12,3.5,2.12,1.0,3.38,1.0,1.0,1.0,3.0,1.25,1.25,3.88,3.75,2.5,1.0,1.0,1.0,2.88,2.38,2.12,2.12,2.12,3.88,3.88,3.4,2.39,2.92,3.94,4.36,1.49,3.11,3.89,3.38,3.76,1.04,4.38,2.25,3.7,4.34,2.67,1.72,3.11,1.87,3.15,3.0,3.57,3.24,2.61,1.77,4.07,3.51,2.24,3.4,4.05,2.74,1.26,1.03,3.14,3.09,3.39,2.25,3.49,3.14,4.17,4.14,Fundraising Managers,Management
11-3012,2.12,2.25,3.12,2.0,3.62,2.0,1.0,1.5,1.5,1.5,2.75,2.5,2.88,3.12,1.5,1.5,1.5,2.12,3.5,3.12,2.0,2.62,2.62,1.62,3.62,1.5,2.75,4.0,4.0,3.0,2.75,1.5,3.5,1.62,1.5,1.5,3.12,1.5,1.5,3.62,3.62,2.12,1.0,1.38,1.62,3.12,1.75,2.0,2.88,1.25,4.0,3.88,3.5,3.23,3.64,3.84,4.44,2.92,3.94,2.96,3.71,3.95,2.04,4.16,3.08,3.71,4.62,3.9,3.11,3.89,3.15,3.27,3.44,4.22,3.81,3.77,2.56,4.39,4.03,3.17,3.06,3.77,3.22,2.38,2.49,3.6,4.19,2.49,3.26,3.46,3.34,3.87,4.15,Administrative Services Managers,Management
11-3013,2.37,2.565,3.37,2.13,3.87,2.25,1.125,1.94,1.88,2.185,3.31,2.13,3.25,3.38,1.815,1.94,1.94,2.435,3.87,3.75,2.31,2.685,2.625,2.12,3.625,2.0,2.75,3.935,4.0,3.125,3.0,2.12,4.125,1.815,2.06,2.06,3.315,2.0,2.44,3.69,3.75,2.94,1.56,2.185,2.125,2.81,2.5,2.565,2.75,2.12,3.935,3.81,3.9850000000000003,3.34,3.975,3.995,4.445,2.9050000000000002,4.035,3.87,4.15,3.995,3.2199999999999998,4.07,3.5,4.195,4.4350000000000005,3.975,2.915,4.285,3.825,3.7199999999999998,3.92,4.57,4.0200000000000005,3.79,2.855,4.165,3.495,3.3049999999999997,3.1550000000000002,3.755,3.55,2.775,2.79,4.11,3.91,3.1550000000000002,3.575,4.01,3.905,4.125,3.995,Facilities Managers,Management
11-3021,2.25,2.0,3.25,2.0,4.0,1.75,1.0,1.5,1.0,1.0,2.75,2.12,3.0,3.38,1.12,1.0,1.0,1.75,4.0,3.75,2.12,3.0,2.62,1.38,3.75,1.0,3.12,4.0,4.0,3.25,2.75,1.0,4.0,1.25,1.25,1.25,2.88,1.0,1.12,3.62,3.38,2.75,1.0,1.0,1.0,2.62,1.75,2.38,3.0,2.0,4.0,3.75,4.25,2.38,3.76,3.13,4.36,1.98,3.9,3.99,4.12,3.36,1.98,3.9,3.64,3.72,4.43,3.98,1.65,4.31,2.96,3.56,3.86,4.51,3.79,3.58,1.63,4.31,3.15,2.01,1.81,3.94,3.45,1.99,1.48,3.5,3.72,3.11,3.58,3.58,3.2,3.89,4.9,Computer and Information Systems Managers,Management
11-3031,1.25,1.9566666666666668,3.3333333333333335,1.0833333333333333,4.04,1.58,1.0,1.0833333333333333,1.0,1.0,2.5033333333333334,2.04,3.2099999999999995,3.3366666666666664,1.0,1.0,1.0,1.75,3.9599999999999995,3.8366666666666664,1.29,3.7533333333333334,2.7099999999999995,1.0,3.7900000000000005,1.04,3.6233333333333335,4.04,4.04,3.17,3.0,1.04,3.8766666666666665,1.0,1.0,1.0,2.83,1.04,1.0,3.7900000000000005,3.6233333333333335,2.92,1.0,1.04,1.0,2.46,1.46,1.7933333333333332,2.4166666666666665,1.4166666666666667,4.08,3.8766666666666665,4.44,2.2433333333333336,3.706666666666667,4.006666666666667,4.39,1.4633333333333336,3.36,3.8033333333333332,3.6,3.4933333333333336,1.1666666666666667,4.12,3.1966666666666668,3.8466666666666662,4.61,3.5666666666666664,1.3333333333333333,3.86,1.8233333333333333,3.6533333333333338,3.646666666666667,4.486666666666667,3.0400000000000005,2.8533333333333335,1.3499999999999999,4.066666666666666,2.8366666666666664,1.4866666666666666,2.4433333333333334,4.333333333333333,3.34,1.18,1.0433333333333332,3.0766666666666667,3.2866666666666666,2.99,2.7266666666666666,3.473333333333333,3.276666666666667,3.953333333333333,4.403333333333333,Financial Managers,Management
