OCC_CODE,OCC_TITLE,occ_major_group,AIOE,AIOE_z,UAIOE,UAIOE_ev,AIOE_rank,UAIOE_rank,rank_diff,cluster,cluster_label
11-1011,Chief Executives,Management,1.334246,1.3351087600846523,1.759442686376865,1.3085140383686085,66,4,-62,3,Highest Exposure Knowledge & Management
11-1021,General and Operations Managers,Management,0.5748773,0.5752490353405494,1.150078964784206,0.92783021561785,233,108,-125,3,Highest Exposure Knowledge & Management
11-2011,Advertising and Promotions Managers,Management,1.294387,1.2952239863659367,1.2562527322234938,1.2970269125515574,88,87,-1,3,Highest Exposure Knowledge & Management
11-2021,Marketing Managers,Management,1.315032,1.3158823358835583,1.52886746299097,1.316056103973277,80,28,-52,3,Highest Exposure Knowledge & Management
11-2022,Sales Managers,Management,1.26628,1.2670988117526265,1.7176719262030848,1.4177692995317195,102,7,-95,3,Highest Exposure Knowledge & Management
11-3021,Computer and Information Systems Managers,Management,1.059853,1.060538331448723,1.1971606061883304,0.9829598021303196,151,99,-52,3,Highest Exposure Knowledge & Management
11-3031,Financial Managers,Management,1.446232,1.4471671727308322,1.542126324734167,1.5303529542100216,11,25,14,3,Highest Exposure Knowledge & Management
11-3051,Industrial Production Managers,Management,0.5086878,0.5090167357330598,0.616920312309572,0.20951864531274839,240,227,-13,1,Moderate Exposure Service & Healthcare
11-3061,Purchasing Managers,Management,1.423426,1.4243464258623957,1.5377109096964203,1.3555205721625267,21,26,5,3,Highest Exposure Knowledge & Management
11-3071,"Transportation, Storage, and Distribution Managers",Management,0.8907923,0.8913683130280986,1.1686743558060146,0.9315887417125426,188,106,-82,3,Highest Exposure Knowledge & Management
11-3111,Compensation and Benefits Managers,Management,1.298235,1.2990744745685916,1.4086810132627254,1.6145247604302815,85,46,-39,3,Highest Exposure Knowledge & Management
11-3121,Human Resources Managers,Management,1.320417,1.321270817944706,1.7553529490270625,1.453409367115757,76,5,-71,3,Highest Exposure Knowledge & Management
11-3131,Training and Development Managers,Management,1.284423,1.2852535434212249,1.7117491290967493,1.3845190470067252,94,8,-86,3,Highest Exposure Knowledge & Management
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",Management,-0.1443684,-0.144461744976548,-0.011800828301117072,-0.49207381474667805,326,334,8,1,Moderate Exposure Service & Healthcare
11-9021,Construction Managers,Management,1.029139,1.029804471091046,0.6725794118034157,0.0006771750775535957,162,215,53,1,Moderate Exposure Service & Healthcare
11-9031,"Education and Childcare Administrators, Preschool and Daycare",Management,0.838007,0.8385488808753974,1.0365971572176165,0.7800324443538008,198,137,-61,3,Highest Exposure Knowledge & Management
11-9032,"Education Administrators, Kindergarten through Secondary",Management,1.048811,1.0494891914451587,1.845795774664925,1.2429525088144693,152,3,-149,3,Highest Exposure Knowledge & Management
11-9033,"Education Administrators, Postsecondary",Management,1.461149,1.4620938183958534,1.679391874109807,1.5221296350144313,10,12,2,3,Highest Exposure Knowledge & Management
11-9041,Architectural and Engineering Managers,Management,0.8370105,0.8375517365162639,1.0787626878571337,0.6830450585279061,199,125,-74,3,Highest Exposure Knowledge & Management
11-9051,Food Service Managers,Management,-0.1213112,-0.1213896356765864,0.37422281851729605,0.06861605501900582,324,267,-57,1,Moderate Exposure Service & Healthcare
11-9071,Gambling Managers,Management,0.8299207,0.8304573520933995,0.7640892186777555,0.5962871616260723,200,202,2,1,Moderate Exposure Service & Healthcare
11-9081,Lodging Managers,Management,0.4021726,0.4024326606282219,0.7956278807542504,0.3581417153371726,254,194,-60,1,Moderate Exposure Service & Healthcare
11-9111,Medical and Health Services Managers,Management,1.260259,1.2610739184396886,1.5584218376102155,1.2130524398777929,104,23,-81,3,Highest Exposure Knowledge & Management
11-9121,Natural Sciences Managers,Management,1.327906,1.3287646604991972,1.17119566032573,1.0413448201604996,73,105,32,3,Highest Exposure Knowledge & Management
11-9131,Postmasters and Mail Superintendents,Management,0.8233757,0.8239081199503706,1.026230748779235,0.7178944071061899,201,139,-62,3,Highest Exposure Knowledge & Management
11-9141,"Property, Real Estate, and Community Association Managers",Management,1.215396,1.216181909022926,1.1930405941019182,1.2452650685819577,116,101,-15,3,Highest Exposure Knowledge & Management
11-9151,Social and Community Service Managers,Management,1.156153,1.1569006011773235,1.3192624183133137,1.156970211109281,128,68,-60,3,Highest Exposure Knowledge & Management
11-9161,Emergency Management Directors,Management,1.030768,1.0314345244387917,1.1846286742297167,0.6578074167583089,161,104,-57,3,Highest Exposure Knowledge & Management
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",Business & Financial,1.068559,1.069249960942567,1.023163321033102,1.434291608948992,149,140,-9,2,High Exposure Analytical & Office
13-1031,"Claims Adjusters, Examiners, and Investigators",Business & Financial,1.274024,1.274847819195807,1.1331268976129663,1.2282498324281579,100,112,12,3,Highest Exposure Knowledge & Management
13-1032,"Insurance Appraisers, Auto Damage",Business & Financial,0.6634955,0.6639245378458776,0.3870915645033305,0.425536737858389,223,264,41,1,Moderate Exposure Service & Healthcare
13-1041,Compliance Officers,Business & Financial,0.6981205,0.6985719271434145,0.8710387651579887,0.7676386363691277,217,174,-43,3,Highest Exposure Knowledge & Management
13-1051,Cost Estimators,Business & Financial,1.367669,1.368553372142171,1.329299542985789,1.4104066581602448,41,64,23,3,Highest Exposure Knowledge & Management
13-1071,Human Resources Specialists,Business & Financial,1.36005,1.3609294455267793,1.2201852804544613,1.4415726116048806,46,93,47,2,High Exposure Analytical & Office
13-1074,Farm Labor Contractors,Business & Financial,-0.4354025,-0.4356840341190262,-0.8845281204506044,-0.19730711983384813,376,481,105,4,Low Exposure Routine Service
13-1075,Labor Relations Specialists,Business & Financial,1.334834,1.3356971402985716,1.289893342697032,1.535853084881682,65,80,15,3,Highest Exposure Knowledge & Management
13-1081,Logisticians,Business & Financial,1.297303,1.2981418719165974,1.3766166786029141,1.2523800350893641,86,51,-35,3,Highest Exposure Knowledge & Management
13-1111,Management Analysts,Business & Financial,1.432417,1.4333432396435983,1.7020776847131733,1.4760448920464275,17,10,-7,3,Highest Exposure Knowledge & Management
13-1121,"Meeting, Convention, and Event Planners",Business & Financial,0.3740207,0.3742625569815697,0.9316675883638407,0.4273996023316001,258,161,-97,1,Moderate Exposure Service & Healthcare
